anger,disgust,fear,joy,sadness,surprise,time,system,video,video_emotion,video_gender
0.0835419,0.0209173,0.00124891,0.0111519,0.0787665,0.0135325,216,crowdemotion_CNN,boredom_M,boredom,M
0.0954316,0.0311493,0.00114175,0.0205284,0.0899978,0.0139899,217,crowdemotion_CNN,boredom_M,boredom,M
0.106369,0.0259392,0.00140884,0.0280048,0.0936729,0.00990454,218,crowdemotion_CNN,boredom_M,boredom,M
0.130415,0.0412468,0.00161562,0.0262853,0.0889136,0.0122781,219,crowdemotion_CNN,boredom_M,boredom,M
0.103365,0.0342178,0.00189399,0.0308575,0.0967955,0.0126748,220,crowdemotion_CNN,boredom_M,boredom,M
0.115971,0.0381635,0.00159808,0.0228254,0.0827551,0.0152164,221,crowdemotion_CNN,boredom_M,boredom,M
0.0992851,0.0389417,0.00172258,0.0230106,0.0903057,0.0164858,222,crowdemotion_CNN,boredom_M,boredom,M
0.0565111,0.0116717,0.000528934,0.00579769,0.0767613,0.0193122,223,crowdemotion_CNN,boredom_M,boredom,M
0.0628964,0.0177595,0.000858435,0.0119339,0.0768683,0.0172715,224,crowdemotion_CNN,boredom_M,boredom,M
0.0803378,0.0283545,0.000688802,0.0136027,0.092112,0.0163271,225,crowdemotion_CNN,boredom_M,boredom,M
0.127182,0.0296949,0.0011653,0.0187876,0.116576,0.0141318,226,crowdemotion_CNN,boredom_M,boredom,M
0.126227,0.0417515,0.00115708,0.0161534,0.0950403,0.0152293,227,crowdemotion_CNN,boredom_M,boredom,M
0.0836366,0.0343752,0.00108627,0.0213558,0.0661561,0.0145413,228,crowdemotion_CNN,boredom_M,boredom,M
0.0793899,0.0150131,0.000816268,0.0173523,0.108165,0.0136365,229,crowdemotion_CNN,boredom_M,boredom,M
0.0755063,0.0183402,0.000991711,0.0157725,0.0957688,0.010448,230,crowdemotion_CNN,boredom_M,boredom,M
